trialCode,trialAcronym,trialTitle,trialUrl,trialPhase,trialStatus,trialCompletionDate
NCT00706537,,Phase 1 Pharmacokinetic Study Of CP-945598 In Patients With NASH,https://www.clinicaltrials.gov/ct2/show/NCT00706537,Phase 1,Completed,11/1/2008
NCT00707304,FORTIS-M,Safety and Efficacy of Talactoferrin in Previously Treated Patients With Non-small Cell Lung Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00707304,Phase 3,Completed,8/1/2012
NCT00708747,,Biseko Versus Albumin in Systemic Inflammatory Response Syndrome (SIRS) Patients,https://www.clinicaltrials.gov/ct2/show/NCT00708747,Phase 4,Completed,9/1/2003
NCT00711945,GROWTH1,Growth Relapse and Outcomes With Therapy 1,https://www.clinicaltrials.gov/ct2/show/NCT00711945,,Completed,12/1/2014
NCT00712972,,Evaluation of the Medial Parapatellar Knee Injection Technique,https://www.clinicaltrials.gov/ct2/show/NCT00712972,,Completed,7/1/2009
NCT00713102,,Surgical and Medical Emergencies on Board of European Aircraft Carriers,https://www.clinicaltrials.gov/ct2/show/NCT00713102,,Completed,8/1/2008
NCT00713271,AZD3199MAD,Multiple Ascending Doses (MAD) of AZD3199 Given Once Daily as Inhaled Formulation Via Turbuhaler to Healthy Men,https://www.clinicaltrials.gov/ct2/show/NCT00713271,Phase 1,Completed,11/1/2008
NCT00714051,,Fall Prevention Program for Older Adults,https://www.clinicaltrials.gov/ct2/show/NCT00714051,Phase 1|Phase 2,Completed,10/1/2014
NCT00722904,,"Evaluation of Vascular Pathology With 3D, Time-Resolved Phase Contrast Magnetic Resonance Imaging (MRI)",https://www.clinicaltrials.gov/ct2/show/NCT00722904,,Completed,9/1/2010
NCT00724971,,Study Evaluating The Safety And Tolerability Of Combination Therapy Inotuzumab Ozogamicin (CMC-544) And Rituximab,https://www.clinicaltrials.gov/ct2/show/NCT00724971,Phase 1,Completed,3/10/2010
NCT00725478,PIR-001/K,SEDPARK1: Safety and Efficacy Study With the Non-ergot Dopamine-agonist Piribedil in Parkinson's Disease,https://www.clinicaltrials.gov/ct2/show/NCT00725478,,Completed,6/1/2008
NCT00728780,,Study to Compare the Bioavailability of ABT-335 and Rosuvastatin From ABT-143 Capsules Relative to That From Co-administration of ABT-335 and Rosuvastatin for the 5/45mg Dosage Form.,https://www.clinicaltrials.gov/ct2/show/NCT00728780,Phase 1,Completed,
NCT00733187,,Pharmacokinetic Study To Evaluate Effect of Food and Diurnal Variation on ABT-869,https://www.clinicaltrials.gov/ct2/show/NCT00733187,Phase 1,Completed,6/1/2012
NCT00734682,,A Phase I Trial of Nanoliposomal CPT-11 (NL CPT-11) in Patients With Recurrent High-Grade Gliomas,https://www.clinicaltrials.gov/ct2/show/NCT00734682,Phase 1,Completed,12/1/2014
NCT00736502,,PMS Assessing the Long-term Efficacy and Safety of Nevirapine Therapy (Combined With Other ARV Drugs) in HIV-1 Positive Patients in Daily Clinical Practice.,https://www.clinicaltrials.gov/ct2/show/NCT00736502,,Completed,
NCT00741442,,A Study of RDEA806 in Hyperuricemic Subjects With Symptomatic Gout,https://www.clinicaltrials.gov/ct2/show/NCT00741442,Phase 2,Completed,9/1/2009
NCT00751842,,A Phase III Study to Investigate the Impact of Diamyd in Patients Newly Diagnosed With Type 1 Diabetes (USA)- DIAPREVENT,https://www.clinicaltrials.gov/ct2/show/NCT00751842,Phase 3,Terminated,7/1/2012
NCT00752271,,AMS Study: Inflammatory and Biomechanical Contributors to Arthritis Development Following Arthroscopic Meniscectomy,https://www.clinicaltrials.gov/ct2/show/NCT00752271,,Terminated,5/1/2010
NCT00757575,,"Disease Burden of Pneumonia, Meningitis and Bacteremia Among Children in Japan: Pneumonet Japan",https://www.clinicaltrials.gov/ct2/show/NCT00757575,,Completed,10/1/2010
NCT00760305,Pro-self,Pro-self Pain Management in Norway,https://www.clinicaltrials.gov/ct2/show/NCT00760305,Not Applicable,Completed,4/1/2008
NCT00770536,,AMG386 Comb w. Either Pegylated Liposomal Doxorubicin or Topotecan Subjects w. Advanced Recurrent Epithelial Ovarian CR,https://www.clinicaltrials.gov/ct2/show/NCT00770536,Phase 1,Completed,6/1/2015
NCT00772031,CMTT,NINDS CRC Chronic Migraine Treatment Trial,https://www.clinicaltrials.gov/ct2/show/NCT00772031,Phase 3,Completed,9/1/2010
NCT00772434,,Assessment of Bleeding Symptoms in Normal Individuals Using a Comprehensive History Phenotyping Instrument,https://www.clinicaltrials.gov/ct2/show/NCT00772434,,Completed,5/1/2011
NCT00776113,,Bioequivalence Study of Carvedilol 12.5mg Tablets Under Fasting Conditions,https://www.clinicaltrials.gov/ct2/show/NCT00776113,Not Applicable,Completed,12/1/2003
NCT00776945,fPAM,Feasibility and Functionality of fPAM Imaging in Melanoma,https://www.clinicaltrials.gov/ct2/show/NCT00776945,,Terminated,12/1/2014
NCT00780403,,"Multi-Center, Pediatric, Open-Label, Preference Study of Desloratadine 2.5 mg Reditab (SCH34117) and Zyrtec ® 5.0 mg Chewable Tablet Medications (Study P04573) (Completed)",https://www.clinicaltrials.gov/ct2/show/NCT00780403,Phase 4,Completed,10/1/2005
NCT00784043,,Bilateral Cochlear Implantation in Children With the MED-EL Cochlear Implant,https://www.clinicaltrials.gov/ct2/show/NCT00784043,Not Applicable,Terminated,2/1/2017
NCT00784420,,"Drug Interaction Study Between Raltegravir And UK-453,061",https://www.clinicaltrials.gov/ct2/show/NCT00784420,Phase 1,Completed,11/1/2008
NCT00788242,,The Effect of Glucose-Insulin-Potassium Infusion in Patients Undergoing Cardiac Surgery,https://www.clinicaltrials.gov/ct2/show/NCT00788242,Not Applicable,Completed,12/1/2013
NCT00792090,,Prevention of Cow's Milk Allergy in Children,https://www.clinicaltrials.gov/ct2/show/NCT00792090,Not Applicable,Completed,7/1/2008
NCT00794196,PRODEFAR,Pharmaceutical Care Program for Pharmacological Treatment of Depression in Primary Care,https://www.clinicaltrials.gov/ct2/show/NCT00794196,Not Applicable,Completed,11/1/2012
NCT00794664,,Safety and Efficacy of Mipomersen in Patients With Severe Hypercholesterolemia on a Maximally Tolerated Lipid-Lowering Regimen and Who Are Not on Apheresis,https://www.clinicaltrials.gov/ct2/show/NCT00794664,Phase 3,Completed,10/1/2010
NCT00796328,,Up-Down Determination of the ED90 of Phenylephrine for Hypotension Prophylaxis in Cesarean Delivery,https://www.clinicaltrials.gov/ct2/show/NCT00796328,Phase 4,Terminated,7/1/2009
NCT00797758,MINICORD,Reduction of Cord Blood Transplantation Toxicity in Patients With Acute Myeloid Leukemia,https://www.clinicaltrials.gov/ct2/show/NCT00797758,Phase 2,Completed,12/1/2011
NCT00801710,,CrossBoss and Stingray Catheter and Entera Guidewire Chronic Total Occlusion (CTO) Study,https://www.clinicaltrials.gov/ct2/show/NCT00801710,Not Applicable,Completed,9/1/2009
NCT00802672,,Safety and Equivalence of a Generic Ciclopirox Olamine Cream Compared to the Reference Ciclopirox Cream 0.77% for the Treatment of Tinea Pedis,https://www.clinicaltrials.gov/ct2/show/NCT00802672,Phase 3,Completed,5/1/2004
NCT00803192,,Bioequivalence Study Between Two Oral Formulations of Famotidine Tablets Under Fed Conditions,https://www.clinicaltrials.gov/ct2/show/NCT00803192,Phase 1,Completed,
NCT00807118,,"Phase 1, Single Dose, Crossover Study to Determine Bioequivalence and to Investigate Food Effect",https://www.clinicaltrials.gov/ct2/show/NCT00807118,Phase 1,Completed,12/1/2008
NCT00809029,,The Influence Of GIP (Glucose-Dependent Insulinotropic Polypeptide) Infusion On Human Adipose Tissue: An In Vivo Study,https://www.clinicaltrials.gov/ct2/show/NCT00809029,Not Applicable,Unknown status,12/1/2012
NCT00812734,EDONIS,Epidemiologic Multicentre Study of Neuropathic Post-surgical Pain,https://www.clinicaltrials.gov/ct2/show/NCT00812734,,Completed,9/1/2011
NCT00816725,,Effectiveness of a Web-based Prevention Program for Postpartum Depression,https://www.clinicaltrials.gov/ct2/show/NCT00816725,Not Applicable,Completed,6/1/2013
NCT00820976,TLG-AML-95-002,Induction With or Without Granulocyte Colony-Stimulating Factor in AML Transplantation in AML,https://www.clinicaltrials.gov/ct2/show/NCT00820976,Phase 3,Completed,1/1/2009
NCT00821912,TaxXel,TaxXel: Taxotere and Xeloda in Esophageal Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00821912,Phase 1|Phase 2,Unknown status,9/1/2013
NCT00822705,,Inhibition of Food Intake in Response to Oral GLP-1 and Peptide YY3-36,https://www.clinicaltrials.gov/ct2/show/NCT00822705,Phase 1|Phase 2,Completed,1/1/2009
NCT00831727,,The Role of Affect Regulation and Self-presentation in the Expressive Writing Intervention,https://www.clinicaltrials.gov/ct2/show/NCT00831727,Not Applicable,Completed,11/1/2010
NCT00837278,,Maternal Serum Cytokine Levels and Angiogenic Factor Levels in IVF vs Spontaneously Conceived Pregnancies,https://www.clinicaltrials.gov/ct2/show/NCT00837278,,Unknown status,6/1/2010
NCT00847639,07-REV,Safety Study of Lenalidomide Maintenance Therapy Post Allogeneic HCT for High-risk Multiple Myeloma,https://www.clinicaltrials.gov/ct2/show/NCT00847639,Phase 2,Completed,3/1/2014
NCT00848731,,Phase I Trial of Inhaled Nitric Oxide to Treat Acute Pulmonary Embolism,https://www.clinicaltrials.gov/ct2/show/NCT00848731,Phase 1,Completed,5/1/2011
NCT00850616,,Three-Dose Regimen of MRKAd5+6 Trigene (V526) in Healthy Adults (V526-001)(COMPLETED),https://www.clinicaltrials.gov/ct2/show/NCT00850616,Phase 1,Completed,3/1/2011
NCT00851136,,"A Study of PRO95780 Administered in Combination With the FOLFOX Regimen and Bevacizumab in Patients With Previously Untreated, Locally Advanced, Recurrent, and Metastatic Colorectal Cancer (APM4566g)",https://www.clinicaltrials.gov/ct2/show/NCT00851136,Phase 1,Completed,6/1/2010
NCT00852267,,Lipoprotein Effects of Substituting Beef Protein for Carbohydrate,https://www.clinicaltrials.gov/ct2/show/NCT00852267,Not Applicable,Completed,12/1/2009
NCT00852761,,A Study to Evaluate the Efficacy and Tolerability of Topical Therapies for the Condition of Plaque-Type Psoriasis,https://www.clinicaltrials.gov/ct2/show/NCT00852761,Phase 4,Completed,8/1/2009
NCT00858728,ADIT,Effect of Fruit and Vegetable Consumption on Immune Function in the Elderly,https://www.clinicaltrials.gov/ct2/show/NCT00858728,Not Applicable,Completed,9/1/2009
NCT00859547,,Safety and Immunogenicity Study of Recombinant Thrombin (rThrombin) in Pediatric Participants,https://www.clinicaltrials.gov/ct2/show/NCT00859547,Phase 4,Completed,1/1/2010
NCT00859625,,The Impact of Active Nurse Participation on Adenoma Detection During Routine Colonoscopy,https://www.clinicaltrials.gov/ct2/show/NCT00859625,Not Applicable,Completed,1/1/2015
NCT00861510,,"A Pilot Study of the Safety and Activity of Escalating Doses of ON 01910.Na in Patients With Relapsed Mantle Cell Lymphoma, Multiple Myeloma, Chronic Lymphocytic Leukemia, and Related Lymphoid Malignancies",https://www.clinicaltrials.gov/ct2/show/NCT00861510,Phase 1,Completed,10/19/2012
NCT00863746,MISSION,A 3rd/4th Line Placebo-controlled Trial of Sorafenib in Patients With Predominantly Non Squamous Non-Small Cell Lung Cancer (NSCLC).,https://www.clinicaltrials.gov/ct2/show/NCT00863746,Phase 3,Completed,4/1/2013
NCT00870116,SBRT-NSCLC,Stereotactic Body Radio Therapy (SBRT) for Early-stage Non Small Cell Lung Cancer (NSCLC),https://www.clinicaltrials.gov/ct2/show/NCT00870116,Not Applicable,Unknown status,3/1/2013
NCT00874653,,Survey on Patient Satisfaction Rate for Mirena Use in Heavy Menstrual Bleeding,https://www.clinicaltrials.gov/ct2/show/NCT00874653,,Completed,12/1/2008
NCT00876993,,Study of Irinotecan and Bevacizumab With Temozolomide in Refractory/Relapsed Central Nervous System (CNS) Tumors,https://www.clinicaltrials.gov/ct2/show/NCT00876993,Phase 1,Completed,9/1/2015
NCT00877474,,"Phase I, Multicenter, Open-label, Dose-escalating, Clinical and Pharmacokinetic Study of PM01183 in Patients With Advanced Solid Tumors",https://www.clinicaltrials.gov/ct2/show/NCT00877474,Phase 1,Completed,6/1/2011
NCT00878956,,Bicarbonate in Cardiac Surgery,https://www.clinicaltrials.gov/ct2/show/NCT00878956,Phase 2,Terminated,1/1/2012
NCT00884390,,Study Evaluating Safety Of Patients Switching To ReFacto AF In Usual Care Settings,https://www.clinicaltrials.gov/ct2/show/NCT00884390,Phase 4,Terminated,3/1/2013
NCT00886145,,Effect of Vibration Therapy on Bone in Persons With Sub-acute Spinal Cord Injury,https://www.clinicaltrials.gov/ct2/show/NCT00886145,Not Applicable,Completed,12/1/2012
NCT00887588,,LCZ696 Compared to Valsartan in Patients With Chronic Heart Failure and Preserved Left-ventricular Ejection Fraction,https://www.clinicaltrials.gov/ct2/show/NCT00887588,Phase 2,Completed,12/1/2011
NCT00893711,,Lactobacillus Reuteri Versus Placebo in the Treatment and Prevention of Infantile Colic,https://www.clinicaltrials.gov/ct2/show/NCT00893711,Not Applicable,Recruiting,12/1/2022
NCT00896584,,Exercise Pulseoximetry for Pre-flight Evaluation of Chronic Obstructive Pulmonary Disease (COPD) Patients,https://www.clinicaltrials.gov/ct2/show/NCT00896584,,Completed,11/1/2010
NCT00899587,,Evaluation of the Effects of Oxygen Therapy and Enalapril for Diabetic Macular Ischemia,https://www.clinicaltrials.gov/ct2/show/NCT00899587,Phase 1,Unknown status,
NCT00902538,,Hydrochlorothiazide as add-on to Olmesartan/Amlodipine in Hypertension,https://www.clinicaltrials.gov/ct2/show/NCT00902538,Phase 3,Completed,10/1/2010
NCT00906217,,"Safety, Efficacy, and Tolerance of Pico-Salax for Colon Cleansing Prior to Colonoscopy in an Elderly Population",https://www.clinicaltrials.gov/ct2/show/NCT00906217,,Completed,9/1/2011
NCT00909428,,Validation of a Real-time Urodynamic Measure of Urinary Urgency,https://www.clinicaltrials.gov/ct2/show/NCT00909428,Phase 4,Completed,2/1/2009
NCT00910650,F5,Study of Gene Modified Immune Cells in Patients With Advanced Melanoma,https://www.clinicaltrials.gov/ct2/show/NCT00910650,Phase 2,Completed,5/30/2019
NCT00927134,XCGDinChildren,Gene Therapy for X-linked Chronic Granulomatous Disease (CGD) in Children,https://www.clinicaltrials.gov/ct2/show/NCT00927134,Phase 1|Phase 2,Completed,9/1/2011
NCT00929123,,Mechanisms of Neural Mobilization in the Treatment of Chronic Pain,https://www.clinicaltrials.gov/ct2/show/NCT00929123,Phase 1|Phase 2,Completed,6/1/2009
NCT00939107,,The McKenzie Method Versus Manipulation for Patients With Chronic Low Back Pain,https://www.clinicaltrials.gov/ct2/show/NCT00939107,Not Applicable,Completed,11/1/2008
NCT00943475,,Assessment of Hemodynamic Response in Surgery of Circumcision in Children,https://www.clinicaltrials.gov/ct2/show/NCT00943475,Phase 4,Completed,6/1/2009
NCT00956033,,Skin Biopsies in Chemotherapy-Induced Neuropathy,https://www.clinicaltrials.gov/ct2/show/NCT00956033,,Completed,2/1/2012
NCT00956839,,Prospective Study of Efficacy of Intra-muscular Vitamin D3 in Tropical Calcific Pancreatitis,https://www.clinicaltrials.gov/ct2/show/NCT00956839,Phase 4,Completed,12/1/2010
NCT00957541,CLEPSYDRA,Evaluation of a Diagnostic Feature in a Cardiac Resynchronization Therapy (CRT) Device,https://www.clinicaltrials.gov/ct2/show/NCT00957541,Phase 2,Completed,4/1/2013
NCT00960648,,Registry to Evaluate Efficacy of Xience/Promus Versus Cypher in Reducing Late Loss After Stenting,https://www.clinicaltrials.gov/ct2/show/NCT00960648,,Unknown status,
NCT00962260,,Expanded Access Trial of Plant Expressed Recombinant Glucocerebrosidase (prGCD) in Patients With Gaucher Disease,https://www.clinicaltrials.gov/ct2/show/NCT00962260,,No longer available,
NCT00962884,,Breathing Device for Orthostatic Hypotension (OH),https://www.clinicaltrials.gov/ct2/show/NCT00962884,Not Applicable,Withdrawn,12/1/2022
NCT00963612,,Non-invasive Prediction of Microvascular Invasion in Hepatocellular Carcinoma by Blood-Oxygen-Level Dependent Magnetic Resonance Imaging (BOLD MRI),https://www.clinicaltrials.gov/ct2/show/NCT00963612,Not Applicable,Completed,12/1/2016
NCT00967096,,Rifaximin for Preventing Acute Graft Versus Host Disease (AGVHD),https://www.clinicaltrials.gov/ct2/show/NCT00967096,Phase 1,Completed,4/1/2009
NCT00968422,,"A Study of Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of ABT-384 in Elderly Subjects",https://www.clinicaltrials.gov/ct2/show/NCT00968422,Phase 1,Completed,
NCT00975195,,Inhaled Corticosteroid Withdrawal in Patients With Chronic Obstructive Pulmonary Disease,https://www.clinicaltrials.gov/ct2/show/NCT00975195,Phase 4,Completed,7/1/2013
NCT00975975,,Basiliximab #2: In-Vivo Activated T-Cell Depletion to Prevent Graft-Versus_Host Disease (GVHD) After Nonmyeloablative Allotransplantation for the Treatment of Blood Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00975975,Phase 2,Completed,11/1/2013
NCT00979576,,BIBF 1120 in Combination With Pemetrexed in Advanced Non Small Cell Lung Cancer (NSCLC),https://www.clinicaltrials.gov/ct2/show/NCT00979576,Phase 1,Terminated,2/1/2015
NCT00982436,,Neoadjuvant Cisplatin/Docetaxel (CDDP/TXT) and Chemoradiation for Head and Neck Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00982436,Phase 1|Phase 2,Unknown status,12/1/2012
NCT00986765,HEPEPE,Prevention of Maternal and Perinatal Complications by Enoxaparin in Women With Previous Severe Preeclampsia,https://www.clinicaltrials.gov/ct2/show/NCT00986765,Phase 3,Completed,11/1/2015
NCT00987493,,"Rituximab, Bendamustine Hydrochloride, and Lenalidomide in Treating Patients With Aggressive B-Cell Lymphoma",https://www.clinicaltrials.gov/ct2/show/NCT00987493,Phase 1|Phase 2,Completed,4/1/2016
NCT00988520,,"Study of Efficacy, Pharmacokinetics and Safety of Continuous Intravenous Infusion of Org 9426 (Study P05977)",https://www.clinicaltrials.gov/ct2/show/NCT00988520,Phase 3,Completed,9/1/2003
NCT00988897,,Colorectal Cancer RECHALLENGE,https://www.clinicaltrials.gov/ct2/show/NCT00988897,Phase 2,Withdrawn,5/1/2012
NCT00993850,,Sleep Disturbance and Bipolar Disorder,https://www.clinicaltrials.gov/ct2/show/NCT00993850,Phase 3,Completed,7/1/2012
NCT00995007,,A Randomized Phase II Trial of Vandetanib (ZD6474) in Combination With Carboplatin Versus Carboplatin Alone Followed by Vandetanib Alone in Adults With Recurrent High-Grade Gliomas,https://www.clinicaltrials.gov/ct2/show/NCT00995007,Phase 2,Completed,12/1/2015
NCT00995150,,"A Study of a Levonorgestrel-Releasing Intrauterine System for Long-Term, Reversible Contraception",https://www.clinicaltrials.gov/ct2/show/NCT00995150,Phase 3,Completed,10/12/2021
NCT00996775,,Implementing Evidence-Based Mental Health Practices in Primary Care,https://www.clinicaltrials.gov/ct2/show/NCT00996775,Phase 3,Completed,8/1/2016
NCT00997581,,Apremilast Therapy for Acute Gouty Arthritis,https://www.clinicaltrials.gov/ct2/show/NCT00997581,Phase 2,Withdrawn,12/1/2010
NCT00000158,,Macular Photocoagulation Study (MPS),https://www.clinicaltrials.gov/ct2/show/NCT00000158,Phase 3,Unknown status,
NCT00000261,,Effects of Alcohol History on Effects of Sevoflurane and Nitrous Oxide - 13,https://www.clinicaltrials.gov/ct2/show/NCT00000261,Phase 2,Completed,10/1/1998
NCT00000604,,Influence of CPB Temperature on CABG Morbidity,https://www.clinicaltrials.gov/ct2/show/NCT00000604,Phase 2,Completed,12/1/1996
NCT00000707,,Aerosols in the Treatment of Asymptomatic Pneumocystis Pneumonia: A Pilot Study Assessing the Effectiveness of Aerosolized Pentamidine as Treatment of Subclinical Pneumocystis Infection in Patients With No Clinical Symptoms,https://www.clinicaltrials.gov/ct2/show/NCT00000707,Not Applicable,Completed,6/1/1991
NCT00000831,,Virologic Responses To New Nucleoside Regimens After Prolonged ZDV or ddI Monotherapy,https://www.clinicaltrials.gov/ct2/show/NCT00000831,Phase 2,Completed,5/1/1998
NCT00000986,,The Safety and Effectiveness of Interleukin-2 Plus Zidovudine in Patients With AIDS or AIDS Related Complex,https://www.clinicaltrials.gov/ct2/show/NCT00000986,Phase 1,Completed,1/1/1994
NCT00001063,,The Effectiveness of Three Drug Combinations in HIV-Infected Patients Who Have Taken Zidovudine for More Than 12 Weeks,https://www.clinicaltrials.gov/ct2/show/NCT00001063,Phase 2,Completed,11/1/1997
NCT00001086,,A Study of Abacavir Plus Indinavir Sulfate Plus Efavirenz in HIV-Infected Patients,https://www.clinicaltrials.gov/ct2/show/NCT00001086,Phase 2,Completed,9/1/1999
NCT00001106,,A Study of Zidovudine in HIV-Infected Pregnant Women and Their Children,https://www.clinicaltrials.gov/ct2/show/NCT00001106,Phase 1,Completed,3/1/1994
NCT00001156,,Assessment of Patients With Multiple Sclerosis (MS),https://www.clinicaltrials.gov/ct2/show/NCT00001156,,Completed,2/1/2010
NCT00001748,,HLA-Mismatched Peripheral Blood Mobilized Hematopoietic Precursor Cell Transplantation for Hematological Malignancies,https://www.clinicaltrials.gov/ct2/show/NCT00001748,Phase 1,Completed,5/1/2000
NCT00002161,,"A Multi-Center, Randomized, Double-Blind, Placebo-Controlled Study of the Efficacy and Safety of Adefovir Dipivoxil When Added to Standard Antiretroviral Therapy for the Treatment of HIV-Infected Patients With CD4 Cell Counts >= 200/mm3",https://www.clinicaltrials.gov/ct2/show/NCT00002161,Not Applicable,Completed,
NCT00002279,,A Study of ddC in Patients With AIDS or Advanced AIDS-Related Complex (ARC) Who Have Not Had Success With Zidovudine (AZT),https://www.clinicaltrials.gov/ct2/show/NCT00002279,Not Applicable,Completed,
NCT00002415,,Safety and Effectiveness of Adding PMPA Prodrug to an Anti-HIV Drug Combination to Treat HIV-Infected Patients,https://www.clinicaltrials.gov/ct2/show/NCT00002415,Phase 2,Completed,
NCT00002504,,Interleukin-2 Plus Interferon Alfa in Treating Adults With Metastatic Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00002504,Phase 2,Completed,2/1/1999
NCT00002510,,Chemotherapy and Radiation Therapy Followed by Peripheral Stem Cell Transplantation in Treating Patients With Non-Hodgkin's Lymphoma,https://www.clinicaltrials.gov/ct2/show/NCT00002510,Phase 1|Phase 2,Completed,6/1/2001
NCT00002565,,Combination Chemotherapy in Treating Patients With Intermediate-Grade or Immunoblastic Non-Hodgkin's Lymphoma,https://www.clinicaltrials.gov/ct2/show/NCT00002565,Phase 3,Completed,2/5/2007
NCT00002812,,Combination Chemotherapy in Treating Children With Acute Lymphocytic Leukemia,https://www.clinicaltrials.gov/ct2/show/NCT00002812,Phase 3,Completed,
NCT00002858,,Combination Chemotherapy Plus Radiation Therapy in Treating Patients With Small Cell Lung Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00002858,Phase 3,Unknown status,
NCT00003240,,Standard Therapy Given With or Without Combination Chemotherapy in Treating Patients With Non-small Cell Lung Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00003240,Phase 3,Unknown status,
NCT00003372,,Topotecan in Treating Patients With Recurrent Brain Tumors,https://www.clinicaltrials.gov/ct2/show/NCT00003372,Phase 2,Completed,12/21/2009
NCT00003421,,Combination Chemotherapy in Treating Patients With Advanced Hodgkin's Disease,https://www.clinicaltrials.gov/ct2/show/NCT00003421,Phase 3,Completed,11/1/2005
NCT00003588,,Gene Therapy in Treating Patients With Ovarian Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00003588,Phase 1,Completed,
NCT00003592,,Methotrexate Compared With Paclitaxel in Treating Patients With Advanced Head and Neck Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00003592,Phase 3,Completed,3/2/2004
NCT00003632,,Combination Chemotherapy Plus Peripheral Stem Cell Transplantation in Treating Patients With Newly Diagnosed Central Nervous System Lymphoma,https://www.clinicaltrials.gov/ct2/show/NCT00003632,Phase 2,Completed,
NCT00003643,,Combination Chemotherapy in Treating Men With Germ Cell Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00003643,Phase 2|Phase 3,Unknown status,
NCT00003729,,Combination Chemotherapy in Treating Children With Relapsed or Refractory Acute Lymphocytic Leukemia,https://www.clinicaltrials.gov/ct2/show/NCT00003729,Phase 2,Terminated,
NCT00003735,,"Chemotherapy in Treating Children With Relapsed Acute Leukemia, Acute Myeloid Leukemia, or Blastic Phase Chronic Myelogenous Leukemia",https://www.clinicaltrials.gov/ct2/show/NCT00003735,Phase 2,Completed,9/1/2006
NCT00003884,,Zoledronate in Treating Patients With Solid Tumors That Have Spread to the Bone,https://www.clinicaltrials.gov/ct2/show/NCT00003884,Phase 3,Completed,1/1/2001
NCT00004312,,Establishment of a Database for Long-Term Monitoring of Patients With Nephropathic Cystinosis,https://www.clinicaltrials.gov/ct2/show/NCT00004312,,Completed,
NCT00004903,,Combination Chemotherapy and Peripheral Stem Cell Transplantation in Treating Patients With Multiple Myeloma,https://www.clinicaltrials.gov/ct2/show/NCT00004903,Phase 2,Unknown status,
NCT00005341,,Blood Donation--Immune Sequelae and Recruitment,https://www.clinicaltrials.gov/ct2/show/NCT00005341,,Completed,1/1/1997
NCT00005519,,Prospective Study of Diet and Cardiovascular Disease,https://www.clinicaltrials.gov/ct2/show/NCT00005519,,Completed,8/1/2001
NCT00006071,,Effects of Rosiglitazone on Blood Vessels in Patients With High Blood Pressure and High Cholesterol,https://www.clinicaltrials.gov/ct2/show/NCT00006071,,Completed,3/1/2001
NCT00006083,,Dalteparin to Prevent Complications in Cancer Patients Receiving Chemotherapy Through a Catheter,https://www.clinicaltrials.gov/ct2/show/NCT00006083,Phase 3,Completed,11/1/2000
NCT00010855,,Nonpharmacologic Analgesia for Invasive Procedures,https://www.clinicaltrials.gov/ct2/show/NCT00010855,Phase 2|Phase 3,Completed,4/1/2007
NCT00011141,,Lactobacillus Plantarum as Therapy for NK-T Cell Deficiency,https://www.clinicaltrials.gov/ct2/show/NCT00011141,Not Applicable,Completed,
NCT00011700,,Stachybotrys Induced Hemorrhage in the Developing Lung,https://www.clinicaltrials.gov/ct2/show/NCT00011700,,Completed,1/1/2009
NCT00017082,,Oxaliplatin in Treating Patients With Recurrent Metastatic Colorectal Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00017082,Phase 2,Completed,12/1/2010
NCT00017186,,Gemcitabine and Epirubicin in Treating Patients With Malignant Mesothelioma,https://www.clinicaltrials.gov/ct2/show/NCT00017186,Phase 2,Completed,5/1/2008
NCT00017745,,Phenotype/Genotype Correlations in Neuromuscular Disorders,https://www.clinicaltrials.gov/ct2/show/NCT00017745,,Completed,5/10/2007
NCT00021853,,Motor Training to Treat Hand Dystonia,https://www.clinicaltrials.gov/ct2/show/NCT00021853,Phase 2,Completed,8/1/2002
NCT00024466,,"Chemotherapy, Vaccine Therapy, and Stem Cell Transplantation in Patients With Newly Diagnosed Multiple Myeloma",https://www.clinicaltrials.gov/ct2/show/NCT00024466,Phase 1|Phase 2,Completed,4/1/2009
NCT00024817,,"Energy Expenditure, Diet and Body Fat in Children",https://www.clinicaltrials.gov/ct2/show/NCT00024817,,Completed,8/1/2002
NCT00025116,,ZD 1839 in Treating Patients With Prostate Cancer That Has Not Responded to Hormone Therapy,https://www.clinicaltrials.gov/ct2/show/NCT00025116,Phase 2,Completed,9/22/2008
NCT00026767,,Surveillance of Fungal Infections in Bone Marrow/Stem Cell and Organ Transplant Recipients,https://www.clinicaltrials.gov/ct2/show/NCT00026767,,Completed,7/17/2012
NCT00031317,,Evaluation of Clonazepam and Paroxetine for Panic Disorder With Depression,https://www.clinicaltrials.gov/ct2/show/NCT00031317,Phase 4,Completed,6/1/2005
NCT00037232,,Failure Time Methods for Family Disease Studies,https://www.clinicaltrials.gov/ct2/show/NCT00037232,,Completed,3/1/2005
